one,two,three,four,five,class
100,111,99,0,0,00
100,111,99,0,0,01
111,100,116,0,0,02
112,100,102,0,0,03
114,102,116,0,0,04
116,101,120,0,0,05
116,120,116,0,0,06
119,107,115,0,0,07
119,112,100,0,0,08
97,105,102,0,0,10
109,112,51,0,0,11
109,112,97,0,0,12
114,97,114,0,0,20
122,105,112,0,0,21
122,0,0,0,0,22
112,107,103,0,0,23
99,115,118,0,0,30
100,98,0,0,0,31
100,98,102,0,0,32
115,113,108,0,0,33
120,109,108,0,0,34
120,108,114,0,0,35
120,108,115,0,0,36
120,108,115,120,0,37
97,112,107,0,0,40
98,105,110,0,0,41
99,111,109,0,0,42
101,120,101,0,0,43
97,105,0,0,0,50
103,105,102,0,0,51
106,112,103,0,0,52
106,112,101,103,0,53
112,110,103,0,0,54
97,115,112,0,0,60
97,115,112,120,0,61
104,116,109,0,0,62
104,116,109,108,0,63
99,103,105,0,0,64
106,115,0,0,0,65
112,104,112,0,0,66
112,112,116,0,0,70
112,112,116,120,0,71
99,0,0,0,0,80
99,108,97,115,115,81
99,112,112,0,0,82
106,97,118,97,0,83
115,119,105,102,116,84
51,103,112,0,0,90
97,118,105,0,0,91
109,107,118,0,0,92
109,112,52,0,0,93
109,112,103,0,0,94
109,112,101,103,0,95
119,109,118,0,0,96
100,111,99,0,0,00
100,111,99,0,0,01
111,100,116,0,0,02
112,100,102,0,0,03
114,102,116,0,0,04
116,101,120,0,0,05
116,120,116,0,0,06
119,107,115,0,0,07
119,112,100,0,0,08
97,105,102,0,0,10
109,112,51,0,0,11
109,112,97,0,0,12
114,97,114,0,0,20
122,105,112,0,0,21
122,0,0,0,0,22
112,107,103,0,0,23
99,115,118,0,0,30
100,98,0,0,0,31
100,98,102,0,0,32
115,113,108,0,0,33
120,109,108,0,0,34
120,108,114,0,0,35
120,108,115,0,0,36
120,108,115,120,0,37
97,112,107,0,0,40
98,105,110,0,0,41
99,111,109,0,0,42
101,120,101,0,0,43
97,105,0,0,0,50
103,105,102,0,0,51
106,112,103,0,0,52
106,112,101,103,0,53
112,110,103,0,0,54
97,115,112,0,0,60
97,115,112,120,0,61
104,116,109,0,0,62
104,116,109,108,0,63
99,103,105,0,0,64
106,115,0,0,0,65
112,104,112,0,0,66
112,112,116,0,0,70
112,112,116,120,0,71
99,0,0,0,0,80
99,108,97,115,115,81
99,112,112,0,0,82
106,97,118,97,0,83
115,119,105,102,116,84
51,103,112,0,0,90
97,118,105,0,0,91
109,107,118,0,0,92
109,112,52,0,0,93
109,112,103,0,0,94
109,112,101,103,0,95
119,109,118,0,0,96
100,111,99,0,0,00
100,111,99,0,0,01
111,100,116,0,0,02
112,100,102,0,0,03
114,102,116,0,0,04
116,101,120,0,0,05
116,120,116,0,0,06
119,107,115,0,0,07
119,112,100,0,0,08
97,105,102,0,0,10
109,112,51,0,0,11
109,112,97,0,0,12
114,97,114,0,0,20
122,105,112,0,0,21
122,0,0,0,0,22
112,107,103,0,0,23
99,115,118,0,0,30
100,98,0,0,0,31
100,98,102,0,0,32
115,113,108,0,0,33
120,109,108,0,0,34
120,108,114,0,0,35
120,108,115,0,0,36
120,108,115,120,0,37
97,112,107,0,0,40
98,105,110,0,0,41
99,111,109,0,0,42
101,120,101,0,0,43
97,105,0,0,0,50
103,105,102,0,0,51
106,112,103,0,0,52
106,112,101,103,0,53
112,110,103,0,0,54
97,115,112,0,0,60
97,115,112,120,0,61
104,116,109,0,0,62
104,116,109,108,0,63
99,103,105,0,0,64
106,115,0,0,0,65
112,104,112,0,0,66
112,112,116,0,0,70
112,112,116,120,0,71
99,0,0,0,0,80
99,108,97,115,115,81
99,112,112,0,0,82
106,97,118,97,0,83
115,119,105,102,116,84
51,103,112,0,0,90
97,118,105,0,0,91
109,107,118,0,0,92
109,112,52,0,0,93
109,112,103,0,0,94
109,112,101,103,0,95
119,109,118,0,0,96
100,111,99,0,0,00
100,111,99,0,0,01
111,100,116,0,0,02
112,100,102,0,0,03
114,102,116,0,0,04
116,101,120,0,0,05
116,120,116,0,0,06
119,107,115,0,0,07
119,112,100,0,0,08
97,105,102,0,0,10
109,112,51,0,0,11
109,112,97,0,0,12
114,97,114,0,0,20
122,105,112,0,0,21
122,0,0,0,0,22
112,107,103,0,0,23
99,115,118,0,0,30
100,98,0,0,0,31
100,98,102,0,0,32
115,113,108,0,0,33
120,109,108,0,0,34
120,108,114,0,0,35
120,108,115,0,0,36
120,108,115,120,0,37
97,112,107,0,0,40
98,105,110,0,0,41
99,111,109,0,0,42
101,120,101,0,0,43
97,105,0,0,0,50
103,105,102,0,0,51
106,112,103,0,0,52
106,112,101,103,0,53
112,110,103,0,0,54
97,115,112,0,0,60
97,115,112,120,0,61
104,116,109,0,0,62
104,116,109,108,0,63
99,103,105,0,0,64
106,115,0,0,0,65
112,104,112,0,0,66
112,112,116,0,0,70
112,112,116,120,0,71
99,0,0,0,0,80
99,108,97,115,115,81
99,112,112,0,0,82
106,97,118,97,0,83
115,119,105,102,116,84
51,103,112,0,0,90
97,118,105,0,0,91
109,107,118,0,0,92
109,112,52,0,0,93
109,112,103,0,0,94
109,112,101,103,0,95
119,109,118,0,0,96
100,111,99,0,0,00
100,111,99,0,0,01
111,100,116,0,0,02
112,100,102,0,0,03
114,102,116,0,0,04
116,101,120,0,0,05
116,120,116,0,0,06
119,107,115,0,0,07
119,112,100,0,0,08
97,105,102,0,0,10
109,112,51,0,0,11
109,112,97,0,0,12
114,97,114,0,0,20
122,105,112,0,0,21
122,0,0,0,0,22
112,107,103,0,0,23
99,115,118,0,0,30
100,98,0,0,0,31
100,98,102,0,0,32
115,113,108,0,0,33
120,109,108,0,0,34
120,108,114,0,0,35
120,108,115,0,0,36
120,108,115,120,0,37
97,112,107,0,0,40
98,105,110,0,0,41
99,111,109,0,0,42
101,120,101,0,0,43
97,105,0,0,0,50
103,105,102,0,0,51
106,112,103,0,0,52
106,112,101,103,0,53
112,110,103,0,0,54
97,115,112,0,0,60
97,115,112,120,0,61
104,116,109,0,0,62
104,116,109,108,0,63
99,103,105,0,0,64
106,115,0,0,0,65
112,104,112,0,0,66
112,112,116,0,0,70
112,112,116,120,0,71
99,0,0,0,0,80
99,108,97,115,115,81
99,112,112,0,0,82
106,97,118,97,0,83
115,119,105,102,116,84
51,103,112,0,0,90
97,118,105,0,0,91
109,107,118,0,0,92
109,112,52,0,0,93
109,112,103,0,0,94
109,112,101,103,0,95
119,109,118,0,0,96
100,111,99,0,0,00
100,111,99,0,0,01
111,100,116,0,0,02
112,100,102,0,0,03
114,102,116,0,0,04
116,101,120,0,0,05
116,120,116,0,0,06
119,107,115,0,0,07
119,112,100,0,0,08
97,105,102,0,0,10
109,112,51,0,0,11
109,112,97,0,0,12
114,97,114,0,0,20
122,105,112,0,0,21
122,0,0,0,0,22
112,107,103,0,0,23
99,115,118,0,0,30
100,98,0,0,0,31
100,98,102,0,0,32
115,113,108,0,0,33
120,109,108,0,0,34
120,108,114,0,0,35
120,108,115,0,0,36
120,108,115,120,0,37
97,112,107,0,0,40
98,105,110,0,0,41
99,111,109,0,0,42
101,120,101,0,0,43
97,105,0,0,0,50
103,105,102,0,0,51
106,112,103,0,0,52
106,112,101,103,0,53
112,110,103,0,0,54
97,115,112,0,0,60
97,115,112,120,0,61
104,116,109,0,0,62
104,116,109,108,0,63
99,103,105,0,0,64
106,115,0,0,0,65
112,104,112,0,0,66
112,112,116,0,0,70
112,112,116,120,0,71
99,0,0,0,0,80
99,108,97,115,115,81
99,112,112,0,0,82
106,97,118,97,0,83
115,119,105,102,116,84
51,103,112,0,0,90
97,118,105,0,0,91
109,107,118,0,0,92
109,112,52,0,0,93
109,112,103,0,0,94
109,112,101,103,0,95
119,109,118,0,0,96
100,111,99,0,0,00
100,111,99,0,0,01
111,100,116,0,0,02
112,100,102,0,0,03
114,102,116,0,0,04
116,101,120,0,0,05
116,120,116,0,0,06
119,107,115,0,0,07
119,112,100,0,0,08
97,105,102,0,0,10
109,112,51,0,0,11
109,112,97,0,0,12
114,97,114,0,0,20
122,105,112,0,0,21
122,0,0,0,0,22
112,107,103,0,0,23
99,115,118,0,0,30
100,98,0,0,0,31
100,98,102,0,0,32
115,113,108,0,0,33
120,109,108,0,0,34
120,108,114,0,0,35
120,108,115,0,0,36
120,108,115,120,0,37
97,112,107,0,0,40
98,105,110,0,0,41
99,111,109,0,0,42
101,120,101,0,0,43
97,105,0,0,0,50
103,105,102,0,0,51
106,112,103,0,0,52
106,112,101,103,0,53
112,110,103,0,0,54
97,115,112,0,0,60
97,115,112,120,0,61
104,116,109,0,0,62
104,116,109,108,0,63
99,103,105,0,0,64
106,115,0,0,0,65
112,104,112,0,0,66
112,112,116,0,0,70
112,112,116,120,0,71
99,0,0,0,0,80
99,108,97,115,115,81
99,112,112,0,0,82
106,97,118,97,0,83
115,119,105,102,116,84
51,103,112,0,0,90
97,118,105,0,0,91
109,107,118,0,0,92
109,112,52,0,0,93
109,112,103,0,0,94
109,112,101,103,0,95
119,109,118,0,0,96
100,111,99,0,0,00
100,111,99,0,0,01
111,100,116,0,0,02
112,100,102,0,0,03
114,102,116,0,0,04
116,101,120,0,0,05
116,120,116,0,0,06
119,107,115,0,0,07
119,112,100,0,0,08
97,105,102,0,0,10
109,112,51,0,0,11
109,112,97,0,0,12
114,97,114,0,0,20
122,105,112,0,0,21
122,0,0,0,0,22
112,107,103,0,0,23
99,115,118,0,0,30
100,98,0,0,0,31
100,98,102,0,0,32
115,113,108,0,0,33
120,109,108,0,0,34
120,108,114,0,0,35
120,108,115,0,0,36
120,108,115,120,0,37
97,112,107,0,0,40
98,105,110,0,0,41
99,111,109,0,0,42
101,120,101,0,0,43
97,105,0,0,0,50
103,105,102,0,0,51
106,112,103,0,0,52
106,112,101,103,0,53
112,110,103,0,0,54
97,115,112,0,0,60
97,115,112,120,0,61
104,116,109,0,0,62
104,116,109,108,0,63
99,103,105,0,0,64
106,115,0,0,0,65
112,104,112,0,0,66
112,112,116,0,0,70
112,112,116,120,0,71
99,0,0,0,0,80
99,108,97,115,115,81
99,112,112,0,0,82
106,97,118,97,0,83
115,119,105,102,116,84
51,103,112,0,0,90
97,118,105,0,0,91
109,107,118,0,0,92
109,112,52,0,0,93
109,112,103,0,0,94
109,112,101,103,0,95
119,109,118,0,0,96
100,111,99,0,0,00
100,111,99,0,0,01
111,100,116,0,0,02
112,100,102,0,0,03
114,102,116,0,0,04
